"Global ID","Data Model ID","Element Name"
"001631",74113,"Well Child Screening Received Date"
"000314",70643,"Child Developmental Screening Status"
"000315",70644,"Developmental Evaluation Finding"
"001000",71419,"Assessment Early Learning Developmental Domain"
"000177",71505,"Assessment Level for Which Designed"
"000304",70635,"Early Learning Program Eligibility Category"
"001339",73146,"Early Learning Program Eligibility Status"
"001340",73147,"Early Learning Program Eligibility Status Date"
"001338",73144,"Early Learning Program Eligibility Expiration Date"
"000316",70645,"Language Type"
"000317",70646,"ISO 639-2 Language Code"
"001637",74219,"ISO 639-3 Language Code"
"001638",74226,"ISO 639-5 Language Family"
"000323",70652,"Application Date"
"000559",70660,"IDEA Educational Environment for Early Childhood"
"000324",70653,"Enrollment Date"
"000097",70620,"Enrollment Entry Date"
"000107",70621,"Enrollment Exit Date"
"000222",73457,"Exit Reason"
"000202",70629,"Number of Days in Attendance"
"000325",70654,"Participation in School Food Service Programs"
"000827",74377,"Organization Identification System"
"001466",74381,"Responsible Organization Identifier"
"001467",74384,"Responsible Organization Type"
"001946",75505,"Role"
"000201",75735,"Number of Days Absent"
"000595",75737,"Responsible School Type"
"002113",76030,"Dropout Reason Type"
"002068",76031,"Student Dropout Status"
"001328",73134,"Early Learning Federal Funding Type"
"001335",73141,"Early Learning Other Federal Funding Sources"
"000547",73161,"Federal Program Code"
"000031",74715,"Awaiting Initial IDEA Evaluation Status"
"000151",74716,"IDEA Indicator"
"000577",74718,"Disability Status"
"000249",74717,"Section 504 Status"
"000218",70631,"Primary Disability Type"
"001320",73661,"Disability Condition Type"
"001321",73663,"Disability Determination Source Type"
"000559",74453,"IDEA Educational Environment for Early Childhood"
"002131",76594,"Degree of Visual Impairment"
"002132",76598,"Visual Impairment Type"
"001242",71707,"Special Education Full Time Equivalency"
"000326",70655,"Service Entry Date"
"000327",70656,"Service Exit Date"
"001591",74060,"Early Childhood Education and Assistance Program Eligibility"
"001553",73840,"Early Childhood Services Offered"
"000321",70650,"Early Childhood Services Received"
"001488",73426,"Reason for Declined Services"
"001604",74073,"Early Learning Service Type"
"001618",74096,"Eligibility Priority Points"
"001635",74141,"Service Date"
"001356",73208,"Frequency of Service"
"000320",74140,"Individualized Program Type"
"001381",73227,"Individualized Program Planned Service Start Date"
"001520",73673,"Individualized Program Planned Service Duration"
"001519",73672,"Individualized Program Planned Service Frequency"
"001383",73229,"Individualized Program Planned Service Type"
"000260",73459,"Special Education Exit Reason"
"001714",75739,"Frequency Instances Per Cycle"
"001715",75740,"Frequency Length"
"001713",75741,"Frequency Unit"
"000323",74000,"Application Date"
"001597",74066,"Early Learning Application Identifier"
"001599",74068,"Early Learning Application Required Document"
"001593",74062,"Early Learning Enrollment Application Document Identifier"
"001594",74063,"Early Learning Enrollment Application Document Name"
"001595",74064,"Early Learning Enrollment Application Document Type"
"001592",74061,"Early Learning Enrollment Application Verification Date"
"001600",74069,"Early Learning Enrollment Application Verification Reason Type"
"001627",74108,"Site Preference Rank"
"001625",74105,"Service Partner Name"
"001624",74102,"Service Partner Description"
"000320",70649,"Individualized Program Type"
"001231",71684,"Individualized Program Service Plan Date Type"
"001236",71694,"Individualized Program Service Plan Date"
"001232",71686,"Individualized Program Date"
"001237",71696,"Individualized Program Service Plan Meeting Location"
"001238",71698,"Individualized Program Service Plan Meeting Participants"
"001239",71700,"Individualized Program Service Plan Signed By"
